EBIT,Industries,Company Name,Editor,Sustainability report,Craftsmanship and production,Educational Development,Community Development and Employment,Emergency Relief and Basic Needs,Food Security and Sustainable Agriculture,Focus
20.61,Automotive*,Kwik-Fit (GB) Limited,MC,,False,False,False,False,False,
560.02,Other Capital Markets/Institutions*,LCH Limited,MC,https://www.lseg.com/content/dam/lseg/en_us/documents/reports/lseg-sustainability-report.pdf,False,True,False,False,False,"LSEG Foundation ( focused on enabling inclusive and sustainable economies and communities)enabling economic empowerment through education, employment and enterprise"
85.86,"Educational Software*, Other Commercial Services",Learning Technologies Group PLC,MC,https://ltgplc.com/wp-content/uploads/2024/04/LTG_Annual_Report_2023_Digital_pages.pdf,False,False,False,False,False,British families in need and  spesifically local cancer charities
420.11,"Consumer Finance, Holding Companies, Life and Health Insurance*",Legal & General Group PLC,MC,https://group.legalandgeneral.com/media/5jloulez/legal-and-general_2023-social-impact-report.pdf,False,False,False,False,False," financial education at primary age,  support older people in  financial questions, food donations,"
14.14,Iron and Steel Mining*,Liberty Speciality Steel,MC,https://libertysteelgroup.com/wp-content/uploads/2023/11/Liberty-Steel-Sustainability-Report-2023.pdf,False,True,False,False,False,"GFG Foundation, health and screen testing, programme for trainee electricians"
173.78,Elder and Disabled Care*,Lifeways Community Care Limited,MC,https://www.cqc.org.uk/sites/default/files/2024-07/20240725-cqc-annual-report-accounts-2022-23-tagged.pdf,False,False,False,False,False,no donations made in 22/23
7908.19,"Construction and Engineering, Other Chemicals and Gases*",Linde PLC,MC,https://assets.linde.com/-/media/global/corporate/corporate/documents/sustainable-development/2023-sustainable-development-report.pdf,False,True,True,True,False,"have a global giving  program focusing on disaster relief, health, education, enviroment"
1601.29,Other Capital Markets/Institutions*,London Stock Exchange Group Plc,MC,https://www.lseg.com/content/dam/lseg/en_us/documents/reports/lseg-sustainability-report.pdf,False,True,False,False,False,"LSEG Foundation ( focused on enabling inclusive and sustainable economies and communities)enabling economic empowerment through education, employment and enterprise"
45.26,"Automotive*, Specialty Retail",Lookers PLC,MC,https://www.annualreports.com/HostedData/AnnualReports/PDF/LSE_LOOK_2022.pdf,False,False,False,False,False,McMillan Cancer Support and suicide prevention
23.58,Restaurants and Bars*,Loungers Plc,MC,https://loungers.co.uk/u/2023/11/The-Good-Stuff-Loungers-Sustainability-Report-2023-.pdf?utm_source=chatgpt.com,False,False,False,False,False,"donating meals, school lunches in UK"
29.29,Other Commercial Services*,M Group Services Limited,MC,https://www.mgroupservices.com/cdn/files/MGS%20Website/M%20Group%20Services%20ESG%20Report%202021-22-compressed.pdf?utm_source=chatgpt.com,False,False,True,False,False,strong focus on projects to enhance communities for  local residents
1413.93,"Asset Management*, Private Equity",M&G plc,MC,https://www.mandg.com/~/media/Files/M/MandG-Plc/documents/Sustainability/2023/2023-sustainability-accessible-report.pdf,True,True,False,False,False,"contribution in-kind of furniture, stationery and kitchen equipment"
86.4,Cultivation*,M.P. Evans Group PLC,MC,MP-Evans-ESG-Report-2023.pdf,True,True,True,False,True,"strong focus on community building, contribution to education infrastructure and employment opportunities"
647.47,Other Financial Services*,Marex Group PIc,MC,https://dsojnlf6w2v99.cloudfront.net/uploads/2024/06/Marex_Final_SR23.pdf,False,False,False,False,False,"diversity education, cancer,  charitable matched giving (empolyees can choose their charity)"
176.38,"Media and Information Services (B2B)*, Other Financial Services",Markit Group Ltd.,MC,https://prod.spglobal.com/content/dam/spglobal/corporate/en/documents/organization/who-we-are/sp-global-impact-report-2023.pdf,False,True,False,True,True," S&P Global Foundation, Disaster Relief and  Environment, Educate people in tech "
1052.17,"Department Stores*, Other Retail",Marks and Spencer PLC,MC,https://corporate.marksandspencer.com/sites/marksandspencer/files/sustainability-report-2023.pdf?utm_source=chatgpt.com,False,False,False,True,False,"suppoort local charities (animal shelter, colleges, cancer support), use Sparks loyalty scheme, emergency situations (floods, earthquakes ) "
50.04,"Distributors/Wholesale*, Other Commercial Products",Marshalls plc,MC,https://www.marshalls.co.uk/sustainability?utm_source=chatgpt.com,False,False,False,False,False,"Charity partnerships and product donations to community projects,  food banks, "
32.44,"BPO/Outsource Services*, Other Commercial Services",Marston (Holdings) Limited,MC,,False,False,False,False,False,"health and welfare of society, social, economic and environmental wellbeing of the local communities"
6.04,"Clothing, Home Furnishings, Internet Retail*",Matalan Retail Ltd.,MC,https://ml.thcdn.com/design-assets/documents/matalan/Matalan%20IWD%20Prince%E2%80%99s%20Trust%20partnership%208%20March%202024.pdf,False,False,True,False,False,support community building
